City,Scenarios Ω,Time Bounds [s],IsOpt,Ub,Time Cplex [s],Benders Cuts,AvgTrips Ω400,UB Ω400,M2 Ω400,LB Ω400,Gap M2-UB,Gap M2-LB
Boston,100, 82.9 ,1," 9,015.7 ",1.1,0," 9,704.8 "," 9,255.9 "," 9,063.7 "," 8,672.8 ",2.1%,4.5%
Boston,75, 63.6 ,1," 9,030.2 ",0.8,0," 9,704.8 "," 9,255.9 "," 9,060.2 "," 8,673.2 ",2.2%,4.5%
Boston,50, 43.8 ,1," 9,027.2 ",0.5,0," 9,704.8 "," 9,255.9 "," 9,057.1 "," 8,670.6 ",2.2%,4.5%
Boston,25, 22.1 ,1," 9,018.7 ",0.3,0," 9,704.8 "," 9,255.9 "," 9,052.4 "," 8,653.8 ",2.2%,4.6%
Boston,15, 13.7 ,1," 9,070.6 ",0.3,0," 9,704.8 "," 9,255.9 "," 9,035.7 "," 8,638.0 ",2.4%,4.6%
Chicago,100, 253.0 ,1," 14,658.5 ",3.3,0," 15,260.2 "," 15,021.3 "," 14,691.0 "," 14,203.1 ",2.2%,3.4%
Chicago,75, 203.8 ,1," 14,643.1 ",2.6,0," 15,260.2 "," 15,021.3 "," 14,683.8 "," 14,199.5 ",2.3%,3.4%
Chicago,50, 137.1 ,1," 14,667.7 ",1.7,0," 15,260.2 "," 15,021.3 "," 14,687.7 "," 14,193.0 ",2.3%,3.5%
Chicago,25, 66.3 ,1," 14,661.1 ",0.8,0," 15,260.2 "," 15,021.3 "," 14,660.4 "," 14,165.3 ",2.5%,3.5%
Chicago,15, 41.0 ,1," 14,724.4 ",0.8,1," 15,260.2 "," 15,021.3 "," 14,617.5 "," 14,126.2 ",2.8%,3.5%
Madrid,100, 69.5 ,1," 7,552.1 ",2.0,0," 7,559.3 "," 7,559.0 "," 7,537.6 "," 7,531.8 ",0.3%,0.1%
Madrid,75, 51.3 ,1," 7,547.8 ",1.2,0," 7,559.3 "," 7,559.0 "," 7,536.5 "," 7,530.9 ",0.3%,0.1%
Madrid,50, 37.2 ,1," 7,550.9 ",0.6,0," 7,559.3 "," 7,559.0 "," 7,533.4 "," 7,527.3 ",0.3%,0.1%
Madrid,25, 17.7 ,1," 7,528.6 ",0.2,0," 7,559.3 "," 7,559.0 "," 7,522.4 "," 7,514.1 ",0.5%,0.1%
Madrid,15, 10.6 ,1," 7,583.3 ",0.2,0," 7,559.3 "," 7,559.0 "," 7,501.5 "," 7,490.5 ",0.8%,0.1%
"Mexico 
City",100, 991.0 ,1," 26,089.7 ",5.3,0," 27,796.0 "," 26,491.5 "," 26,138.4 "," 25,096.3 ",1.4%,4.2%
"Mexico 
City",75, 739.4 ,1," 26,093.6 ",4.0,0," 27,796.0 "," 26,491.5 "," 26,128.3 "," 25,086.8 ",1.4%,4.2%
"Mexico 
City",50, 448.7 ,1," 26,108.4 ",1.9,0," 27,796.0 "," 26,491.5 "," 26,134.1 "," 25,076.7 ",1.4%,4.2%
"Mexico 
City",25, 245.2 ,1," 26,085.6 ",1.7,0," 27,796.0 "," 26,491.5 "," 26,100.7 "," 25,048.2 ",1.5%,4.2%
"Mexico 
City",15, 148.0 ,1," 26,122.5 ",7.6,4," 27,796.0 "," 26,491.5 "," 26,065.8 "," 25,003.7 ",1.6%,4.2%
Montréal,100," 2,527.0 ",1," 39,940.8 ",9.1,0," 41,892.2 "," 40,449.8 "," 39,935.1 "," 37,905.3 ",1.3%,5.4%
Montréal,75," 1,971.5 ",1," 39,947.8 ",8.4,0," 41,892.2 "," 40,449.8 "," 39,922.3 "," 37,885.8 ",1.3%,5.4%
Montréal,50," 1,268.7 ",1," 39,933.5 ",4.2,0," 41,892.2 "," 40,449.8 "," 39,930.0 "," 37,896.0 ",1.3%,5.4%
Montréal,25, 649.6 ,1," 39,959.0 ",3.8,0," 41,892.2 "," 40,449.8 "," 39,915.9 "," 37,870.2 ",1.3%,5.4%
Montréal,15, 420.9 ,1," 39,956.5 ",3.4,0," 41,892.2 "," 40,449.8 "," 39,888.2 "," 37,833.7 ",1.4%,5.4%
New York,100," 22,540.5 ",1," 94,312.4 ",30.7,0," 96,220.6 "," 95,532.3 "," 94,569.9 "," 93,277.5 ",1.0%,1.4%
