City,N,B,Qtot,Time Bounds [s],IsOpt,Ub Ω,Cplex Lb Ω,%Gap,Time,Sum y_i,%Qtot,Benders Cuts,Cplex Nodes,AvgTrips Ω400,UB Ω400,M2 Ω400,LB Ω400,Increased docks,,,,,,,,,,,,
Boston,423,1,4000,101.6,0,9433.13,9177.17,2.8%,1800.43,3378,84.5%,219,4202,9704.83,9693.45,9183.42,8586.17,72,,,Increased or Decrease trips per budget B,,,,,,,,,
Boston,423,2,4000,104.46,0,9443.03,9201.29,2.6%,1800.4,3485,87.1%,224,4202,9704.83,9704.83,9206.37,8559.84,145,,,M2 Ω400,1,2,3,4,5,10,15,20,
Boston,423,3,4000,106.65,0,9474.13,9221.16,2.7%,1800.37,3484,87.1%,181,3402,9704.83,9704.83,9228.27,8573.08,218,,Boston," 9,063.7 "," 9,183.4 "," 9,206.4 "," 9,228.3 "," 9,237.8 "," 9,249.8 "," 9,313.8 "," 9,324.1 "," 9,380.2 ",
Boston,423,4,4000,106.15,0,9458.93,9230.82,2.5%,1800.41,3559,89.0%,152,4202,9704.83,9704.83,9237.81,8576.95,291,,Chicago," 14,691.0 "," 14,728.8 "," 14,758.4 "," 14,761.2 "," 14,530.9 "," 14,705.2 "," 14,143.1 "," 13,564.1 "," 13,985.1 ",
Boston,423,5,4000,103.11,0,9476.74,9245.89,2.5%,1800.36,3560,89.0%,214,3760,9704.83,9704.83,9249.82,8501.66,364,,Madrid," 7,537.6 "," 7,544.3 "," 7,547.9 "," 7,549.3 "," 7,550.0 "," 7,550.8 "," 7,551.7 "," 7,551.7 "," 7,551.7 ",
Boston,423,10,4000,100.8,0,9541.81,9307.81,2.5%,1800.36,3655,91.4%,306,4602,9704.83,9704.83,9313.76,8434.32,729,,Mexco City," 26,138.4 "," 26,376.1 "," 26,493.7 "," 26,590.1 "," 26,630.9 "," 26,680.4 "," 26,812.9 "," 26,859.8 "," 26,894.3 ",
Boston,423,15,4000,108.44,0,9579.99,9316.65,2.8%,1800.36,3886,97.2%,189,5202,9704.83,9704.83,9324.11,8036.69,1094,,Montreal," 39,935.1 "," 39,866.9 "," 39,980.1 "," 40,034.4 "," 39,946.3 "," 40,020.4 "," 40,243.8 "," 40,275.0 "," 40,410.2 ",
Boston,423,20,4000,107.4,0,9582.96,9376.89,2.2%,1800.38,3938,98.5%,248,4602,9704.83,9704.83,9380.16,8054.29,1457,,New York," 94,569.9 "," 94,648.1 "," 94,818.1 "," 94,760.0 "," 94,829.0 "," 94,180.2 "," 95,063.3 "," 95,105.9 "," 95,455.1 ",
Chicago,1678,1,16500,566.73,0,15081.39,14753.43,2.2%,1801.13,5829,35.3%,85,2800,15260.21,15260.21,14728.82,14137.09,152,,San Francisco," 4,530.2 "," 4,538.8 "," 4,543.8 "," 4,550.2 "," 4,553.7 "," 4,551.7 "," 4,543.7 "," 4,545.2 "," 4,577.3 ",
Chicago,1678,2,16500,562.35,0,15069.96,14784.99,1.9%,1800.98,5819,35.3%,84,2475,15260.21,15260.21,14758.35,14111.58,304,,Toronto," 17,752.6 "," 17,777.8 "," 17,812.3 "," 17,830.8 "," 17,778.9 "," 17,809.2 "," 17,202.9 "," 18,020.2 "," 18,034.9 ",
